id,steps_mean,steps_median,steps_std,steps_min,steps_max,steps_count,sleep_points_percentage_mean,sleep_points_percentage_median,sleep_points_percentage_std,sleep_points_percentage_min,sleep_points_percentage_max,sleep_points_percentage_count,stress_score_mean,stress_score_median,stress_score_std,stress_score_min,stress_score_max,stress_score_count,rmssd_mean,rmssd_median,rmssd_std,rmssd_min,rmssd_max,rmssd_count
621e2e8e67b776a24055b564,9167.085714285715,9276.5,3384.0979863107364,1402.0,25526.0,70,0.7957671957671958,0.8333333333333334,0.10650728406477807,0.6,1.0,63,76.31746031746032,77.0,4.986515354580238,65.0,85.0,63,100.41020967741936,99.656,9.402427527736178,80.192,122.089,62
621e2eaf67b776a2406b14ac,16790.5,15940.5,5973.028379109467,3103.0,43112.0,86,0.7426829268292683,0.8,0.2252433154894329,0.0,1.0,82,74.73170731707317,79.0,20.077042217656846,0.0,94.0,82,25.992987654320984,27.041,6.103989079884209,10.854,40.069,81
621e2ed667b776a24085d8d1,4787.03488372093,4659.0,2616.982197550878,304.0,10411.0,86,,,,,,0,,,,,,0,26.519625,26.6605,7.926297589429158,0.0,39.728,64
621e2ef567b776a24099f889,5538.5,4912.0,4842.35476956054,0.0,12852.0,8,,,,,,0,,,,,,0,,,,,,0
621e2efa67b776a2409dd1c3,7412.682926829269,6802.0,4858.421861535201,0.0,24696.0,82,,,,,,0,,,,,,0,,,,,,0
621e2f1b67b776a240b3d87c,6677.894736842105,6413.0,3047.406558934761,521.0,14466.0,76,0.7333333333333334,0.7666666666666667,0.15700908206805061,0.0,0.9333333333333332,76,69.28947368421052,72.0,12.813342826365217,0.0,84.0,76,24.664266666666666,24.483,4.85891381570701,13.345,36.139,75
621e2f3967b776a240c654db,5879.101449275362,5663.0,3988.212149738451,0.0,25362.0,69,0.5121693121693122,0.7333333333333333,0.41470728923612693,0.0,1.0,63,47.904761904761905,72.0,38.08128584747678,0.0,87.0,63,32.16682142857143,30.634,6.443923291420711,13.4,46.224,56
621e2f5767b776a240d8f9d6,11882.461538461539,11476.5,6635.420494472189,0.0,22113.0,26,0.603030303030303,0.7833333333333334,0.3926452268527839,0.0,1.0,22,61.40909090909091,82.0,38.63832182458127,0.0,91.0,22,,,,,,0
621e2f6167b776a240e082a9,6852.328125,6633.5,4182.653505962748,41.0,19946.0,64,0.5355555555555556,0.6666666666666666,0.31888378555026703,0.0,0.8666666666666667,45,52.24444444444445,67.0,30.43708530093119,0.0,80.0,45,23.697333333333333,24.402,5.847452781555429,13.604,35.851,42
621e2f7a67b776a240f14425,10654.65625,10506.0,7279.751310985945,18.0,28875.0,64,,,,,,0,,,,,,0,,,,,,0
621e2f9167b776a240011ccb,6386.696629213483,6332.0,2333.1718091497755,386.0,15122.0,89,0.8007575757575758,0.8333333333333334,0.16485430486376215,0.0,1.0,88,75.19318181818181,77.0,12.918718446943164,0.0,93.0,88,24.910206896551724,24.701,5.2946115568652825,12.029,40.051,87
621e2fb367b776a24015accd,6693.714285714285,6328.0,3886.928563658738,561.0,29496.0,63,,,,,,0,,,,,,0,,,,,,0
621e2fce67b776a240279baa,6324.3650793650795,4975.0,5114.149335821498,609.0,30963.0,63,0.8536458333333333,0.8666666666666667,0.14938051828007087,0.0,1.0,64,76.28125,77.5,10.797514043695868,0.0,91.0,64,25.25038095238095,24.219,6.308012189907249,12.279,40.737,63
621e2ff067b776a2403eb737,7286.803278688524,7157.0,2881.3757641080188,1811.0,15988.0,61,,,,,,0,,,,,,0,,,,,,0
621e300767b776a2404dc717,10143.1,9193.0,6406.290001200944,268.0,25614.0,40,,,,,,0,,,,,,0,,,,,,0
621e301367b776a24057738e,8563.208333333334,8380.0,4988.049322208046,58.0,29170.0,48,,,,,,0,,,,,,0,,,,,,0
621e301e67b776a240608a72,7952.259259259259,7547.0,5688.378666842609,0.0,22193.0,108,0.37023809523809526,0.5166666666666666,0.37018578854072454,0.0,0.9333333333333332,56,38.660714285714285,63.5,37.87888679640764,0.0,87.0,56,,,,,,0
621e309267b776a240ae1cdb,7038.62962962963,6687.0,3612.8210706204486,84.0,16840.0,27,,,,,,0,,,,,,0,,,,,,0
621e309b67b776a240b532b0,13027.263736263736,12969.0,8041.328888015083,0.0,32366.0,91,,,,,,0,,,,,,0,,,,,,0
621e30b267b776a240c5e13f,8391.183333333332,8359.0,3600.804498110917,287.0,16037.0,60,0.5163636363636364,0.6666666666666666,0.35287605672587125,0.0,1.0,55,52.872727272727275,72.0,34.45934509892004,0.0,84.0,55,37.01762962962963,41.2655,16.279125322217535,0.0,70.449,54
621e30c867b776a240d4aa6c,9373.55223880597,9084.0,3950.1604734705597,12.0,19042.0,67,,,,,,0,,,,,,0,38.53143396226415,40.613,8.605999721816245,15.097,51.019,53
621e30e267b776a240e5bf90,5420.0,5420.0,,5420.0,5420.0,1,,,,,,0,,,,,,0,,,,,,0
621e30e467b776a240e817c7,4990.8,4841.0,4973.972532649889,0.0,16619.0,55,0.14333333333333334,0.0,0.29310727966844496,0.0,0.8333333333333334,30,14.5,0.0,29.536359825207608,0.0,78.0,30,35.064,38.161,11.506191908707244,0.0,52.616,26
621e30f467b776a240f22944,9446.808823529413,6878.5,7268.244429180204,1369.0,31513.0,68,,,,,,0,,,,,,0,50.95,52.7735,6.744896193913342,41.806,56.447,4
